Tualetes adrese Rīgā;Darba Laiks;Cilvēkiem ar kustību traucējumiem;Bērnu pārtinamie galdiņi
Jēkaba laukums;07:00 – 22:00;jā;jā
Kronvalda parks (Kronvalda bulvāra pusē);07:00 – 22:00;jā;jā
Dailes teātra laukums (Šarlotes un Brīvības ielas stūris);07:00 – 22:00;jā;jā
13. janvāra iela (pie Vaļņu ielas);0:24;jā;jā
Turgeņeva un Gogoļa ielas skvērs (pie Zinātņu akadēmijas);07:00 – 22:00;jā;jā
Kronvalda parks (pie Elizabetes ielas);0:24;jā;jā
Vērmanes dārzs;0:24;jā;jā
Esplanādes parks (pie Kalpaka bulvāra);0:24;jā;jā
Mežaparks, Ostas prospekts;07:00 – 22:00;jā;jā
Mežaparks, Ostas prospekts pie bērnu rotaļu laukuma;07:00 – 22:00;jā;jā
Radio iela;07:00 – 22:00;jā;jā
Līvu laukums;08:00 - 00:30;jā;nē
Skrindu un Abrenes ielas krustojums;07:00 – 22:00;jā;jā
Rīga, RTU pagalmā Jaunielā b/n ;0:24;jā;nē
Embūtes iela 15 (Dzegužkalns);08:00 - 21:00;nē;nē
Ernestīnes iela 21 (Jaunatnes dārzs);08:00 - 21:00;nē;nē
Pērnavas iela 31 (Grīziņkalns);08:00 - 21:00;nē;nē
Maskavas iela 8 (Spīķeru kvartāls);08:00 - 21:00;jā;nē
Meierovica bulvāris 5a;08:00 - 21:00;jā;nē
Vecāķu pludmale (Selgas iela 21);1.maijs–1.oktobris;jā;jā
Uzvaras parks;1.maijs–1.oktobris;nē;nē
Arkādijas parks;1.maijs–1.oktobris;nē;nē
Māras dīķa parks;1.maijs–1.oktobris;nē;nē
Ziedoņdārzs;08:00 - 21:00;jā;jā
Grīziņkalns;08:00 - 21:00;jā;jā
11.novembra krastmala (krustojumā ar Poļu gāti);08:00 – 24:00;jā;jā
11.novembra krastmala (krustojumā ar Bīskapa gāti);08:00 – 24:00;jā;jā
